V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38
1,63E-300;Yes;Yes;1;1;1;1;1;1;3;2;1;4;5;6;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Unfamiliar (N/A);Unfamiliar (N/A);Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;I don't understand this question;Yes;No;No;Male;18-29;;High school degree;South Atlantic
1,63E-301;No;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;Yes;Male;18-29;$0 - $24,999;Bachelor degree;West South Central
1,63E-300;Yes;No;1;1;1;0;0;0;1;2;3;4;5;6;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Unfamiliar (N/A);Unfamiliar (N/A);Unfamiliar (N/A);Unfamiliar (N/A);Unfamiliar (N/A);Unfamiliar (N/A);Unfamiliar (N/A);Unfamiliar (N/A);Unfamiliar (N/A);I don't understand this question;No;;No;Male;18-29;$0 - $24,999;High school degree;West North Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;5;6;1;2;4;3;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Somewhat favorably;Somewhat unfavorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;I don't understand this question;No;;Yes;Male;18-29;$100,000 - $149,999;Some college or Associate degree;West North Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;5;4;6;2;1;3;Very favorably;Somewhat favorably;Somewhat favorably;Somewhat unfavorably;Very favorably;Very unfavorably;Somewhat favorably;Neither favorably nor unfavorably (neutral);Very favorably;Somewhat favorably;Somewhat favorably;Very unfavorably;Somewhat favorably;Somewhat favorably;Greedo;Yes;No;No;Male;18-29;$100,000 - $149,999;Some college or Associate degree;West North Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;1;4;3;6;5;2;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Neither favorably nor unfavorably (neutral);Very favorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Neither favorably nor unfavorably (neutral);Very favorably;Han;Yes;No;Yes;Male;18-29;$25,000 - $49,999;Bachelor degree;Middle Atlantic
1,63E-301;Yes;Yes;1;1;1;1;1;1;6;5;4;3;1;2;Very favorably;Very favorably;Somewhat favorably;Somewhat favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Somewhat unfavorably;Somewhat favorably;Very favorably;Han;Yes;No;No;Male;18-29;;High school degree;East North Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;4;5;6;3;2;1;Very favorably;Somewhat favorably;Very favorably;Neither favorably nor unfavorably (neutral);Very favorably;Very unfavorably;Somewhat unfavorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Somewhat favorably;Somewhat favorably;Very unfavorably;Somewhat unfavorably;Very favorably;Han;No;;Yes;Male;18-29;;High school degree;South Atlantic
1,63E-300;Yes;Yes;1;1;1;1;1;1;5;4;6;2;1;3;Very favorably;Somewhat unfavorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Very favorably;Very favorably;Very favorably;Very favorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Very unfavorably;Somewhat unfavorably;Somewhat favorably;Han;No;;No;Male;18-29;$0 - $24,999;Some college or Associate degree;South Atlantic
1,63E-300;Yes;No;0;1;0;0;0;0;1;2;3;4;5;6;Neither favorably nor unfavorably (neutral);Very favorably;Very favorably;Very favorably;Very favorably;Somewhat unfavorably;Very favorably;Somewhat unfavorably;Somewhat unfavorably;Very favorably;Very favorably;Very favorably;Somewhat unfavorably;Very favorably;I don't understand this question;No;;No;Male;18-29;$25,000 - $49,999;Some college or Associate degree;Pacific
1,63E-301;Yes;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,63E-300;No;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,63E-300;Yes;No;1;1;1;1;1;1;3;4;5;6;1;2;Somewhat favorably;Very favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Very favorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Greedo;No;;No;Male;18-29;$25,000 - $49,999;Bachelor degree;South Atlantic
1,63E-300;Yes;Yes;1;1;1;1;1;1;4;5;6;2;3;1;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Unfamiliar (N/A);Very unfavorably;Unfamiliar (N/A);Neither favorably nor unfavorably (neutral);Very favorably;Very favorably;Unfamiliar (N/A);Very favorably;Very favorably;I don't understand this question;No;;No;Male;30-44;$50,000 - $99,999;Graduate degree;Mountain
1,63E-300;Yes;Yes;1;1;1;1;1;1;4;2;5;3;1;6;Somewhat favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Very unfavorably;Very unfavorably;Very unfavorably;Very unfavorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Han;No;;No;Male;18-29;;High school degree;East North Central
